Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
2039,67035411.73,45953744.08,474245509.2,114308949.8,91427938.64,36938482.51,27729737.98,109453673.2,276426921.3,725967761.3,74336006.07,318195042.5,2097063422,288655763.6,119478297.4,109655445.9,49045428.17,223649258.1,84939776.42,109298309.9,75317709.75,123258140.9,122293859.4,134221616,264495935.7,201249785.7
2040,67367232.56,47461371.79,475064103.6,114273422.4,92100018.53,37876259.71,28152236.93,109950312.9,280473444.2,748672743.5,73945339.17,319825506.5,2107844335,294694132.7,122156392,109467296.8,49460204.39,228696486.2,87170058.85,110684093.8,76660657.7,124613545.3,124533931.6,137052008.1,272205955,210472744.9
2041,67609103.54,48809687.29,474390194.3,113620890.3,92575498.87,38555539.19,28510118.94,109972895.8,283638787.7,771693271.6,73241868.37,320542586.2,2108384351,300024767.5,124201963,109113616.8,49802917.43,233191343.6,89167373.45,111841590.4,77951419.3,125588691.1,126645754.2,139425945,279125504.9,219663591.7
2042,67873119.93,49736527.64,475430324.3,112188164.5,92723936.81,38439386.76,28704999.28,108096736.7,285203430.4,790669352.7,72073695.46,321603345.6,2099245413,305119075.6,125230722.9,109184804.7,50200433.65,238143042.7,93022270.67,113248922.1,79495303.96,125942624.5,128621881.7,141113598.2,287562799.8,230412230.3
2043,68256017.06,50693536.52,476625968.5,110842757.9,92761650.04,38281033.25,28901337.63,106167522.7,286511092.9,809028333.6,70680277.41,322815648.7,2087129009,310297533.6,126104106.8,109138812.2,50568060.3,243133181.1,97155235.69,114533346.9,80992112.34,126171397.4,130545073.4,142828760.3,296463286.7,242574084.1
2044,68725921.94,51680342.79,477838099,109567765.4,92689467.84,38067003.41,29092690.93,104183047.9,287629293.1,826637483.7,69074453.09,324156931.1,2071918339,315553061.1,126895801.8,108983941.2,50911823.38,248153514,101578619.9,115687254.3,82432192.87,126257058.2,132406199.3,144620076.8,305846797.8,256275149.5
2045,69405584.81,53271462.2,478476781.2,109722094.8,92858908.95,38565753.86,29519207.8,104344586.8,290876880.5,848553818.8,67867746.46,326051725.5,2071751698,322240041.2,129019900.5,108479275.1,51203928.18,253548534.1,104718717.2,116578335.7,83798535.6,126876135.4,134562349.7,147716587.9,315666861.3,271115909.2
2046,69979981.32,54849901.41,478609933.4,109769909.8,92975475.69,38928568.44,29893973.63,104556449.5,294139147.2,870134768.9,66613040.49,328057212.2,2069302312,328888872.5,131129273.3,107934435.2,51463570.76,259058240.2,108008595.7,117415517,85092911.41,127339113.8,136700938.1,150930830.6,325913492.9,287533203.8
2047,70086227.58,55735860.85,478042299.7,109008840.1,92992840.04,38744993.96,29834904.92,103449481.6,296058923.8,887971499.8,65208352.88,329758397.1,2040889787,333952986.7,132252905.8,107548074.3,51605859.94,264324260.8,112744815.4,118879173.5,86319886,127302527.2,138795840.9,153272002.5,336067931.3,305336085.3
2048,70088070.71,56495363.18,477087709.3,108292890,93245607.58,38700184.59,29526614.77,102575908.4,298080715.3,906360552.2,64331073.79,331548982.2,2012741719,338771547.3,133880568.6,107319654.1,51694495.37,269774469.5,117759561.9,120710613.3,87532803.27,127621804.5,141105987.7,155741605.7,346084234.2,324159770.9
2049,70026203.34,57128257.2,475879341.1,107642103.6,93722174.99,38828762.04,28972086.73,101926560.3,300320292.6,925316145.1,63945082.36,333513144.6,1984850103,343351733.7,136039184.9,107223107.5,51732653.48,275391465.9,123071874.4,122896183.3,88727534.4,128335927.8,143622010.9,158495803.3,355929779,343995519.1
2050,70250158.34,58223407.06,474671569.1,107824969.2,94699774.21,39732033.57,28407696.46,103075547.1,304743973.4,949299798.6,64596490.84,336303354.9,1982036378,349137587.2,140170904.2,107210117.6,51792505.49,281652656.3,127334835.2,125072288,89942732.6,130198961.4,146534360.5,162757887.5,365717991,364548151.8
2051,70295940.14,59006391.76,472278008,107468235.6,95657932.94,40620925.52,27605245.56,104134587.3,308762085.7,972222018.4,65215136.91,338628166.9,1970057684,353678266.4,144763629.9,107026848.2,51752613.4,287050903.7,131477032,127234249.8,90854382.92,132165171.2,149302705.8,167334241.1,374216897.4,385800241.1
2052,70347293.61,56947387.99,468439743.9,106461593.8,97637979.15,40633141.34,26999214.99,104929400,314954259.2,997209497.9,67791454.89,341921240.8,1882069806,355030860.1,154146616.3,106621313.3,51888521.73,299888301.7,140371861.7,135657237.2,91505373.27,137010252.1,152528916,170476028.9,404374064.1,407202424.4
