,time,BEV,FCV,HEV,ICE,PHEV,Trolley
Medium Freight Trucks,1893,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1894,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1895,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1896,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1897,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1898,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1899,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1900,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1901,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1902,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1903,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1904,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1905,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1906,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1907,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1908,0.0,0.0,0.0,0.0,0.0,0.0
